record_type,entity_id,seed,epoch,validation_scope,metric,k_definition,estimate,median_across_genomes,mean_across_lineages,lineage_bootstrap_ci_low,lineage_bootstrap_ci_high,n_genomes,n_lineages,training_loss,huber_loss,ranking_loss,rank_weight,epoch_runtime_seconds,cumulative_training_runtime_seconds,checkpoint_sha256,status,notes
final_validation_metric,member_seed_23,23.0,4.0,full_validation,recall_at_k,fixed_100,0.01377777777777778,0.01,0.01112781954887218,0.007894736842105263,0.014085526315789474,45.0,19.0,,,,,,957.056074699969,28e2c66012af684229405e598b5cbf274d5c998213bb18474deb6a2c0ccfb67b,valid,full inference seconds=158.418; peak GPU memory n/a
final_validation_metric,member_seed_23,23.0,4.0,full_validation,recall_at_k,top_1_percent,0.00978336194586902,0.0,0.0070964871736141615,0.003485971094742248,0.011321388521741933,45.0,19.0,,,,,,957.056074699969,28e2c66012af684229405e598b5cbf274d5c998213bb18474deb6a2c0ccfb67b,valid,full inference seconds=158.418; peak GPU memory n/a
final_validation_metric,member_seed_23,23.0,4.0,full_validation,recall_at_k,top_5_percent,0.08241452866194442,0.08415841584158416,0.07770010724630227,0.07020862948920577,0.08584367710119857,45.0,19.0,,,,,,957.056074699969,28e2c66012af684229405e598b5cbf274d5c998213bb18474deb6a2c0ccfb67b,valid,full inference seconds=158.418; peak GPU memory n/a
final_validation_metric,member_seed_23,23.0,4.0,full_validation,scalar_mae_training_target,,0.21036301447649258,0.2095846428169984,0.20727914926753746,0.20451245928386974,0.21014441171578932,45.0,19.0,,,,,,957.056074699969,28e2c66012af684229405e598b5cbf274d5c998213bb18474deb6a2c0ccfb67b,valid,full inference seconds=158.418; peak GPU memory n/a
final_validation_metric,member_seed_23,23.0,4.0,full_validation,spearman,,0.2208391420927353,0.22137703045368834,0.216724464523285,0.2107749862358609,0.22255461697023565,45.0,19.0,,,,,,957.056074699969,28e2c66012af684229405e598b5cbf274d5c998213bb18474deb6a2c0ccfb67b,valid,full inference seconds=158.418; peak GPU memory n/a
final_validation_metric,member_seed_37,37.0,4.0,full_validation,ndcg_at_k,fixed_100,0.3405051699119958,0.34745092053989424,0.3430147128517113,0.335333591343354,0.3508724746885819,45.0,19.0,,,,,,803.7787181999884,6e84577aff38efc48b2e8899f15fa8e45dc820ebf70e0c2ac0029a968ebaf41c,valid,full inference seconds=151.545; peak GPU memory n/a
final_validation_metric,member_seed_37,37.0,4.0,full_validation,ndcg_at_k,top_1_percent,0.3349018925473075,0.3336905637883137,0.33685391735365455,0.32883635605754813,0.34478487062160423,45.0,19.0,,,,,,803.7787181999884,6e84577aff38efc48b2e8899f15fa8e45dc820ebf70e0c2ac0029a968ebaf41c,valid,full inference seconds=151.545; peak GPU memory n/a
final_validation_metric,member_seed_37,37.0,4.0,full_validation,ndcg_at_k,top_5_percent,0.3998257465530894,0.4038691929758082,0.3999160775098796,0.394188562841943,0.40550590778346157,45.0,19.0,,,,,,803.7787181999884,6e84577aff38efc48b2e8899f15fa8e45dc820ebf70e0c2ac0029a968ebaf41c,valid,full inference seconds=151.545; peak GPU memory n/a
final_validation_metric,member_seed_37,37.0,4.0,full_validation,recall_at_k,fixed_100,0.012444444444444445,0.01,0.01305764411027569,0.008508771929824563,0.018483709273182963,45.0,19.0,,,,,,803.7787181999884,6e84577aff38efc48b2e8899f15fa8e45dc820ebf70e0c2ac0029a968ebaf41c,valid,full inference seconds=151.545; peak GPU memory n/a
final_validation_metric,member_seed_37,37.0,4.0,full_validation,recall_at_k,top_1_percent,0.009278148403118646,0.012195121951219513,0.010076520613820942,0.0045964513739911415,0.01780254210012633,45.0,19.0,,,,,,803.7787181999884,6e84577aff38efc48b2e8899f15fa8e45dc820ebf70e0c2ac0029a968ebaf41c,valid,full inference seconds=151.545; peak GPU memory n/a
final_validation_metric,member_seed_37,37.0,4.0,full_validation,recall_at_k,top_5_percent,0.07622365812809835,0.07671957671957672,0.07340084993840659,0.06643225096452961,0.08077922039478087,45.0,19.0,,,,,,803.7787181999884,6e84577aff38efc48b2e8899f15fa8e45dc820ebf70e0c2ac0029a968ebaf41c,valid,full inference seconds=151.545; peak GPU memory n/a
final_validation_metric,member_seed_37,37.0,4.0,full_validation,scalar_mae_training_target,,0.2074933286121949,0.2062386104946354,0.20415133053847528,0.20109261759530245,0.20723562820569685,45.0,19.0,,,,,,803.7787181999884,6e84577aff38efc48b2e8899f15fa8e45dc820ebf70e0c2ac0029a968ebaf41c,valid,full inference seconds=151.545; peak GPU memory n/a
final_validation_metric,member_seed_37,37.0,4.0,full_validation,spearman,,0.2490718636402663,0.24641736789694804,0.2470455823214831,0.24115121721817392,0.2536706782315786,45.0,19.0,,,,,,803.7787181999884,6e84577aff38efc48b2e8899f15fa8e45dc820ebf70e0c2ac0029a968ebaf41c,valid,full inference seconds=151.545; peak GPU memory n/a
final_validation_metric,member_seed_53,53.0,4.0,full_validation,ndcg_at_k,fixed_100,0.34535884386966165,0.34943061278461324,0.3407314199721366,0.330488927443121,0.3510848195963083,45.0,19.0,,,,,,782.435196299979,d6a772b890e0dc99769d212251045cede6c6dfd913736ee8811363932293d175,valid,full inference seconds=151.522; peak GPU memory n/a
final_validation_metric,member_seed_53,53.0,4.0,full_validation,ndcg_at_k,top_1_percent,0.338339513114903,0.3434726472848406,0.33402649712739446,0.3225531871147066,0.3451833766601658,45.0,19.0,,,,,,782.435196299979,d6a772b890e0dc99769d212251045cede6c6dfd913736ee8811363932293d175,valid,full inference seconds=151.522; peak GPU memory n/a
final_validation_metric,member_seed_53,53.0,4.0,full_validation,ndcg_at_k,top_5_percent,0.4063973298510288,0.40860979955720345,0.39985295092387535,0.39149361377888414,0.4077400810554052,45.0,19.0,,,,,,782.435196299979,d6a772b890e0dc99769d212251045cede6c6dfd913736ee8811363932293d175,valid,full inference seconds=151.522; peak GPU memory n/a
final_validation_metric,member_seed_53,53.0,4.0,full_validation,recall_at_k,fixed_100,0.010222222222222221,0.01,0.009197994987468672,0.005087719298245615,0.013734649122807018,45.0,19.0,,,,,,782.435196299979,d6a772b890e0dc99769d212251045cede6c6dfd913736ee8811363932293d175,valid,full inference seconds=151.522; peak GPU memory n/a
final_validation_metric,member_seed_53,53.0,4.0,full_validation,recall_at_k,top_1_percent,0.007245395697518808,0.0,0.005580755862325731,0.002013094854858882,0.010219987032258317,45.0,19.0,,,,,,782.435196299979,d6a772b890e0dc99769d212251045cede6c6dfd913736ee8811363932293d175,valid,full inference seconds=151.522; peak GPU memory n/a
final_validation_metric,member_seed_53,53.0,4.0,full_validation,recall_at_k,top_5_percent,0.09609330820449842,0.10025706940874037,0.09077681926371203,0.08242777204514097,0.09804386061591959,45.0,19.0,,,,,,782.435196299979,d6a772b890e0dc99769d212251045cede6c6dfd913736ee8811363932293d175,valid,full inference seconds=151.522; peak GPU memory n/a
final_validation_metric,member_seed_53,53.0,4.0,full_validation,scalar_mae_training_target,,0.2079150214385349,0.20695089517174065,0.20488498638323502,0.20199176166648283,0.2079594070635187,45.0,19.0,,,,,,782.435196299979,d6a772b890e0dc99769d212251045cede6c6dfd913736ee8811363932293d175,valid,full inference seconds=151.522; peak GPU memory n/a
final_validation_metric,member_seed_53,53.0,4.0,full_validation,spearman,,0.25386378656790654,0.25431589335415455,0.25051404327624954,0.24388732793816756,0.25700839702818756,45.0,19.0,,,,,,782.435196299979,d6a772b890e0dc99769d212251045cede6c6dfd913736ee8811363932293d175,valid,full inference seconds=151.522; peak GPU memory n/a
final_validation_metric,member_seed_71,71.0,4.0,full_validation,ndcg_at_k,fixed_100,0.35505195981831134,0.35501814271380494,0.352743928053396,0.34213598879887397,0.36336172388340077,45.0,19.0,,,,,,827.5057854000479,12c043a9d6480e1e118bf8a12cb4f79379cf65d48b11e8840bb24fc0b68bad30,valid,full inference seconds=161.544; peak GPU memory n/a
final_validation_metric,member_seed_71,71.0,4.0,full_validation,ndcg_at_k,top_1_percent,0.3487759214070891,0.3507862942964491,0.34779415451640194,0.3360128522916423,0.35980078379833946,45.0,19.0,,,,,,827.5057854000479,12c043a9d6480e1e118bf8a12cb4f79379cf65d48b11e8840bb24fc0b68bad30,valid,full inference seconds=161.544; peak GPU memory n/a
final_validation_metric,member_seed_71,71.0,4.0,full_validation,ndcg_at_k,top_5_percent,0.40920037648753815,0.4116428662414294,0.4049222414050575,0.3966080836980354,0.41261521618021985,45.0,19.0,,,,,,827.5057854000479,12c043a9d6480e1e118bf8a12cb4f79379cf65d48b11e8840bb24fc0b68bad30,valid,full inference seconds=161.544; peak GPU memory n/a
final_validation_metric,member_seed_71,71.0,4.0,full_validation,recall_at_k,fixed_100,0.012,0.01,0.012036340852130328,0.007412280701754387,0.0175187969924812,45.0,19.0,,,,,,827.5057854000479,12c043a9d6480e1e118bf8a12cb4f79379cf65d48b11e8840bb24fc0b68bad30,valid,full inference seconds=161.544; peak GPU memory n/a
final_validation_metric,member_seed_71,71.0,4.0,full_validation,recall_at_k,top_1_percent,0.00787147090188091,0.0,0.008351040639809388,0.003912787701809582,0.013748499568115762,45.0,19.0,,,,,,827.5057854000479,12c043a9d6480e1e118bf8a12cb4f79379cf65d48b11e8840bb24fc0b68bad30,valid,full inference seconds=161.544; peak GPU memory n/a
