teacher_call_fraction_requested,teacher_calls,teacher_call_fraction_actual,student_coverage,spearman,risk,recall_top_1_percent,recall_top_5_percent,recall_fixed_100,ndcg_top_1_percent,ndcg_top_5_percent,ndcg_fixed_100,replicate,aurc_risk_coverage
0.0,0,0.0,1.0,0.26191017193450705,0.738089828065493,0.010875658244192085,0.09493499333578921,0.014222222222222223,0.34683176722158043,0.41277833597756136,0.35345912172438604,12,0.3278848774247749
0.01,3558,0.010055392267691612,0.9899446077323084,0.2721705514579942,0.7278294485420059,0.01660475391812427,0.09714634801708437,0.018666666666666668,0.4163684256281712,0.4410061722857028,0.41363630678347196,12,0.3278848774247749
0.05,17709,0.050048044313814155,0.9499519556861858,0.3111807648013181,0.6888192351986819,0.04806907020941002,0.10791078898312871,0.049333333333333326,0.5700768173223475,0.5035736349453623,0.5459069965297902,12,0.3278848774247749
0.1,35401,0.10004804431381416,0.8999519556861858,0.35905723441793574,0.6409427655820642,0.0986476800195888,0.12638694922093988,0.10177777777777777,0.6882519629465071,0.5633883810487131,0.6652609866754969,12,0.3278848774247749
0.2,70783,0.20004239204160074,0.7999576079583992,0.4506031106284304,0.5493968893715695,0.19909503096432551,0.20353122881858937,0.20244444444444448,0.8006916865536392,0.6653791974655541,0.7832815772858231,12,0.3278848774247749
0.3,106173,0.30005934885824104,0.699940651141759,0.5377581550790264,0.46224184492097364,0.302002339419278,0.3044167339008171,0.30622222222222223,0.8577504216253554,0.7496327894870041,0.845437936474084,12,0.3278848774247749
0.5,176928,0.5000226090888538,0.49997739091114624,0.6959165601763946,0.3040834398236055,0.5075501113298807,0.4985015524777155,0.5097777777777779,0.923251185810878,0.85744402988695,0.9168139615199749,12,0.3278848774247749
0.75,265397,0.7500480443138141,0.2499519556861859,0.8631698890390256,0.13683011096097455,0.7533555649403093,0.7470073373060688,0.7517777777777778,0.9698593550096913,0.9423511925041881,0.9669707334762536,12,0.3278848774247749
1.0,353840,1.0,0.0,1.0,6.908054375445419e-17,1.0,1.0,1.0,1.0,1.0,1.0,12,0.3278848774247749
0.0,0,0.0,1.0,0.26191017193450705,0.738089828065493,0.010875658244192085,0.09493499333578921,0.014222222222222223,0.34683176722158043,0.41277833597756136,0.35345912172438604,13,0.3274714557600312
0.01,3558,0.010055392267691612,0.9899446077323084,0.27164238119951967,0.7283576188004804,0.014563197054009476,0.09804036634715997,0.019111111111111113,0.419610543587678,0.4421094004863235,0.4168247555355544,13,0.3274714557600312
0.05,17709,0.050048044313814155,0.9499519556861858,0.3113347591368542,0.6886652408631457,0.05224689698631676,0.10929845041640768,0.053777777777777765,0.5769556240072143,0.5065820832975384,0.552228730594153,13,0.3274714557600312
0.1,35401,0.10004804431381416,0.8999519556861858,0.3596585152254457,0.6403414847745543,0.10008415235481904,0.12626241354640413,0.10044444444444443,0.6852828883646884,0.5627724638288397,0.6625766569244825,13,0.3274714557600312
0.2,70783,0.20004239204160074,0.7999576079583992,0.4512259408772558,0.5487740591227441,0.20666494484078438,0.20275045904763658,0.2046666666666667,0.7989890092019191,0.6643602385083196,0.7814275674894932,13,0.3274714557600312
0.3,106173,0.30005934885824104,0.699940651141759,0.5377855872944746,0.46221441270552543,0.3083572779592988,0.3006274002209812,0.3066666666666667,0.857573946469282,0.7484870947907953,0.8449065857095747,13,0.3274714557600312
0.5,176928,0.5000226090888538,0.49997739091114624,0.6958776051852427,0.30412239481475745,0.5064637531698287,0.5008062969954998,0.5017777777777778,0.9242912994256293,0.8573998312934223,0.9172381655991159,13,0.3274714557600312
0.75,265397,0.7500480443138141,0.2499519556861859,0.864437860834276,0.135562139165724,0.749085376723955,0.7508231236520767,0.7484444444444446,0.9689334004084248,0.94193155594241,0.9659153342455298,13,0.3274714557600312
1.0,353840,1.0,0.0,1.0,6.908054375445419e-17,1.0,1.0,1.0,1.0,1.0,1.0,13,0.3274714557600312
0.0,0,0.0,1.0,0.26191017193450705,0.738089828065493,0.010875658244192085,0.09493499333578921,0.014222222222222223,0.34683176722158043,0.41277833597756136,0.35345912172438604,14,0.3284339691152388
0.01,3558,0.010055392267691612,0.9899446077323084,0.27165585427852046,0.7283441457214795,0.016795837245642355,0.0976154346713347,0.01955555555555556,0.4150595960624336,0.43997647775003623,0.41309545852178753,14,0.3284339691152388
0.05,17709,0.050048044313814155,0.9499519556861858,0.3104851781185462,0.6895148218814539,0.04702489657309279,0.10695506411101838,0.04511111111111111,0.562678197489791,0.5004718798953594,0.5391288336134186,14,0.3284339691152388
0.1,35401,0.10004804431381416,0.8999519556861858,0.3583933930200299,0.64160660697997,0.09540592390922,0.12499604431799373,0.09444444444444443,0.678869892614187,0.5590893825350192,0.6565728886546047,14,0.3284339691152388
0.2,70783,0.20004239204160074,0.7999576079583992,0.45024857366227694,0.549751426337723,0.1924248993361777,0.1987239649406464,0.19311111111111115,0.7913725156184315,0.6608047186658367,0.7743680818341458,14,0.3284339691152388
0.3,106173,0.30005934885824104,0.699940651141759,0.5363298360860326,0.46367016391396737,0.2972875716174235,0.3009506240393552,0.298,0.8533354565209439,0.7474096470920913,0.8411802046991894,14,0.3284339691152388
0.5,176928,0.5000226090888538,0.49997739091114624,0.6946916269591253,0.30530837304087455,0.5074857918809084,0.4993419120052923,0.5044444444444445,0.9211091803260832,0.8564157044939856,0.9145332707509577,14,0.3284339691152388
